water_year,water_year_type,region,month,prop_above_threshold,n,min_temp,max_temp,mean_temp,first_day_exceeded
2002,Dry,Sacramento River,3,0.2727272727272727,11,10.6099999428,16.8899995804,13.25803025678485,23
2002,Dry,Sacramento River,4,0.5,10,0,18.5399997711,15.554999952315,1
2002,Dry,Yolo Bypass,3,0,1,12.5,12.5,12.5,NA
2002,Dry,Yolo Bypass,4,0,1,15.5,15.5,15.5,NA
2003,Above Normal,Sacramento River,3,0.1,10,11.1399999619,15.2,13.39100000699,25
2003,Above Normal,Sacramento River,4,0,10,13.1,15.55,14.72499999046,NA
2003,Above Normal,Yolo Bypass,3,0,1,0,0,0,NA
2003,Above Normal,Yolo Bypass,4,0,3,14.1,15.1,14.733333333333333,NA
2004,Below Normal,Sacramento River,3,0.1111111111111111,9,10.649999999999999,16.65,13.464444435966666,22
2004,Below Normal,Sacramento River,4,0.3333333333333333,9,14.8,18.6250004768,16.026111147133335,26
2004,Below Normal,Yolo Bypass,3,0,1,14.9,14.9,14.9,NA
2004,Below Normal,Yolo Bypass,4,0.3333333333333333,3,14.7,18,16.2,27
2005,Above Normal,Sacramento River,3,0.3,10,12,15.85,13.483666674296666,9
2005,Above Normal,Sacramento River,4,0,10,13.885185178133334,16.82,15.35132801873,NA
2005,Above Normal,Yolo Bypass,3,0,3,13.6,14,13.766666666666666,NA
2005,Above Normal,Yolo Bypass,4,0,3,15.2,16.8,15.966666666666667,NA
2006,Wet,Sacramento River,3,0,10,9.4,10.6,10.055333350494834,NA
2006,Wet,Sacramento River,4,0,10,10.5444444021,14.9124999046,12.064361085896667,NA
2006,Wet,Yolo Bypass,3,0,2,11.2,11.5,11.35,NA
2006,Wet,Yolo Bypass,4,0,2,12.9,13.2,13.05,NA
2007,Dry,Sacramento River,3,0.45454545454545453,11,9.38999977112,16.3,13.513454525690909,15
2007,Dry,Sacramento River,4,0.2727272727272727,11,15.475000000000001,20.0952380952,16.676596088533334,10
2007,Dry,Yolo Bypass,3,0.5,2,12.3,15.5,13.9,20
2007,Dry,Yolo Bypass,4,0.5,2,16.3,17.1,16.700000000000003,10
2008,Critical,Sacramento River,3,0,10,11,13.9,12.698,NA
2008,Critical,Sacramento River,4,0.07142857142857142,14,14.05,17.049999999999997,15.319642857142856,29
2008,Critical,Yolo Bypass,3,0,2,12.649999999999999,12.8,12.725,NA
2008,Critical,Yolo Bypass,4,0.2,5,14.6,17.566666666666666,15.813333333333334,29
2009,Dry,Sacramento River,3,0,9,10.95,14.8,12.334444444444445,NA
2009,Dry,Sacramento River,4,0.09090909090909091,11,13.05,18.45,14.753265859263637,22
2009,Dry,Yolo Bypass,3,0,4,12.4,14.3,13.65,NA
2009,Dry,Yolo Bypass,4,0.5,2,16.799999999999997,21.05,18.924999999999997,22
2010,Below Normal,Sacramento River,3,0.1,10,9,15.78,12.108,30
2010,Below Normal,Sacramento River,4,0,10,0,16.85,12.631833337146666,NA
2010,Below Normal,Yolo Bypass,3,0.5,2,13.9,15.566666666666666,14.733333333333334,29
2010,Below Normal,Yolo Bypass,4,0.25,4,13.866666666666667,18.4,15.454166666666666,26
2011,Wet,Sacramento River,3,0,7,9.38999967575,12.209999895100001,10.790714224400476,NA
2011,Wet,Sacramento River,4,0,9,11.8599999428,13.8,13.155370377432222,NA
2011,Wet,Yolo Bypass,3,0.3333333333333333,3,11.066666666666666,15.1,12.988888888888889,14
2011,Wet,Yolo Bypass,4,0,3,14.6,15.850000000000001,15.36111111111111,NA
2012,Below Normal,Sacramento River,3,0,11,11.5899999619,13.18,12.0990909455,NA
2012,Below Normal,Sacramento River,4,0.2857142857142857,7,13.1,19.4,15.366190469833333,23
2012,Below Normal,Yolo Bypass,3,0,3,11.5,14.3,12.633333333333333,NA
2012,Below Normal,Yolo Bypass,4,0.3333333333333333,3,14.1,19,15.866666666666667,23
2013,Dry,Sacramento River,3,0.1,10,12.3199998856,15.135000066749999,13.531499998095,18
2013,Dry,Sacramento River,4,0.45454545454545453,11,15.5600000381,19.2400000572,16.876666653945456,2
2013,Dry,Yolo Bypass,3,0.2,5,12.2,15.8899993896,14.024499807349999,28
2013,Dry,Yolo Bypass,4,0.3333333333333333,3,16.05,17.833333333333332,16.76111111111111,22
2014,Critical,Sacramento River,3,0.2222222222222222,9,0,15.7599999428,12.050555557977777,17
2014,Critical,Sacramento River,4,0.7,10,14.4299993515,20.065000057200002,17.739166624063333,9
2014,Critical,Yolo Bypass,3,0.25,4,13.8,16.3,14.87899979485,21
2014,Critical,Yolo Bypass,4,0.75,4,14.866666666666667,18.033333333333335,17.06849975586,7
2015,Critical,Sacramento River,3,0.6363636363636364,11,12.34399997712,19.4,16.314606081641212,13
2015,Critical,Sacramento River,4,0.6923076923076923,13,10.7,20.1600000381,16.853076785161537,1
2015,Critical,Yolo Bypass,3,1,3,15.24399929048,17.950000000000003,16.16466643016,9
2015,Critical,Yolo Bypass,4,0.75,4,16.05,19.766666666666666,17.860166422526667,16
2016,Below Normal,Sacramento River,3,0,10,0,14,8.99253320702,NA
2016,Below Normal,Sacramento River,4,0.2222222222222222,9,16.0200000763,17.6,16.625363608367778,11
2016,Below Normal,Yolo Bypass,3,0.5,4,13.8,16.2,15.181999826430001,2
2016,Below Normal,Yolo Bypass,4,1,4,17.6,18.361666043583334,17.986749664934166,4
2017,Wet,Sacramento River,3,0,21,0,13.2950000286,10.650022671343027,NA
2017,Wet,Sacramento River,4,0,19,0,15.0475,12.475482435061403,NA
2017,Wet,Yolo Bypass,3,0.6,5,11.8,16.299999999999997,14.2534666921,13
2017,Wet,Yolo Bypass,4,0.6666666666666666,3,15.95,17.200000000000003,16.755,5
2018,Below Normal,Sacramento River,3,0,20,0,13.3800000763,11.062732140438154,NA
2018,Below Normal,Sacramento River,4,0.2222222222222222,9,13.37000001905,18.450000000000003,15.488611133352778,25
2018,Below Normal,Yolo Bypass,3,0,8,10.099230857263077,13.942857170085714,11.909591302004477,NA
2018,Below Normal,Yolo Bypass,4,0.25,4,16.6,18.266666666666666,17.118666666666666,25
2019,Wet,Sacramento River,3,0,16,0,13.5725,9.530327363010477,NA
2019,Wet,Sacramento River,4,0.0625,16,12.4399999619,17.2,14.576458396815624,29
2019,Wet,Yolo Bypass,3,0.1,10,8.328571319571429,15.233333206166666,12.362047606750444,20
2019,Wet,Yolo Bypass,4,0.75,4,15.733333333333334,21.754,18.255166666666668,17
2020,NA,Sacramento River,3,0,9,9.1333332062,14.333333333333334,12.237037081192778,NA
2020,NA,Yolo Bypass,3,0,9,10.525000095374999,14.816666921,12.614656132250184,NA
